"","GeoName","observed_year","Farmemployment","Miningquarryingandoilandgasextraction","Manufacturing","Retailtrade","Information","Financeandinsurance","Educationalservices","Healthcareandsocialassistance","Artsentertainmentandrecreation","Governmentandgovernmententerprises"
"1","Alabama","2000",0.0239375476805066,0.00394569908766943,0.147889099060498,0.118167814482333,0.0167801941706988,0.0375157019093104,0.0102711910459927,0.0754661455339694,0.0110328250896132,0.161268275350354
"2","Alabama","2017",0.0167590566276609,0.00393034128520012,0.103289489549233,0.10704688225329,0.0103584519481772,0.0426007397225588,0.0159176749681986,0.094168806858259,0.0148577526179668,0.152070409289034
"3","Alaska","2000",0.00201676014922999,0.0298229048530536,0.0353086977271678,0.10960039411496,0.0209553182426989,0.0291840075538701,0.0100273519887924,0.0795003771803333,0.0221561372628511,0.24806919591311
"4","Alaska","2017",0.00333188119938967,0.0376139177187341,0.0351817757919785,0.10028699712565,0.0156195613387945,0.0248424361699566,0.0133231465042612,0.114649988288065,0.0239623992171612,0.225462402500881
"5","Arizona","2000",0.00701657320516436,0.00450828303307859,0.078322047752819,0.116337617927475,0.0219335287041631,0.0537913482372007,0.0103404949473677,0.0796334833714675,0.0195662339238482,0.138764095077298
"6","Arizona","2017",0.00831022346221279,0.00571164585556462,0.0476245060689903,0.107021517704743,0.0153224909984131,0.0648060943415893,0.0215387642041403,0.111498386018863,0.0222481215093609,0.119838465932856
"7","Arkansas","2000",0.0430632014996806,0.00421060016229901,0.16204267398069,0.11071679363,0.0157475906422413,0.0324321443773108,0.00857769811980041,0.0911073500673548,0.0104779321244778,0.139167013502657
"8","Arkansas","2017",0.032433083277387,0.00804837171740759,0.0993972386818062,0.105208971851679,0.00988183153818461,0.0368613600319138,0.0140145655156309,0.117603525107758,0.0133766552827967,0.137876786635142
"9","California","2000",0.0169892237697486,0.00183822315322851,0.0998355339711408,0.101293756089468,0.0315566235085271,0.0441364935426607,0.015486537317927,0.0786860087384116,0.0244783176568388,0.133091735120505
"10","California","2017",0.00981506911454384,0.00208295337791345,0.0601019236325819,0.0886108841143664,0.025832154253839,0.044944338948725,0.022597072980157,0.112278594876644,0.0277849945189004,0.117993152628018
"11","Colorado","2000",0.0154228818211913,0.00715489571288848,0.0677312764007701,0.106029056868364,0.0405184780545044,0.0543135337124512,0.0118707937828692,0.0722960436627528,0.0253584473211465,0.131811081692199
"12","Colorado","2017",0.0133211519524661,0.0148710672656878,0.0432394795617356,0.0902440247593731,0.0227310298565008,0.0567983860289503,0.0201634933780326,0.091147279634601,0.0283100350714444,0.130954974442716
"13","Connecticut","2000",0.00462709207020943,0.000880946209877645,0.113699657771754,0.109215613237232,0.024404476113186,0.0768155824560459,0.0272833667819073,0.111149823645522,0.0199700025068727,0.12202238056593
"14","Connecticut","2017",0.00417442963346069,0.00122269438801499,0.0730987275821284,0.0959676250658424,0.0168452402130213,0.0833449759756607,0.0378440834695016,0.133202964665087,0.0242256630448648,0.110660784312024
"15","Delaware","2000",0.00844559029750247,NA,0.0859654628588681,0.120443016100648,0.0179359549356649,0.0893997115946117,0.0134191928621653,0.0904285958312312,0.0229929805465401,0.131542253772907
"16","Delaware","2017",0.00629985751947376,NA,0.0469127797353446,0.10759583308449,0.0107449086674232,0.102606455135698,0.016834884693155,0.129019102628638,0.0266890767773806,0.125980086853399
"17","District of Columbia","2000",0,NA,0.00536512789268112,0.0278184261203529,0.0387213995843896,0.0300161565828555,0.055776930358056,0.0718872738350397,0.0134964586075963,0.327406079662289
"18","District of Columbia","2017",0,0.000408665027576583,NA,0.0296808204310364,0.0225995082729749,0.0285932620107648,0.0672757879814827,0.082692094712827,0.0194952045540124,0.277521208496689
"19","Florida","2000",0.0110613572662226,0.00140362666233095,0.0528656964835808,0.120831019946564,0.0240495766431839,0.0495391485843424,0.0117808482314315,0.0924561653788829,0.0262830387380016,0.123043088726297
"20","Florida","2017",0.0065558561416398,0.00193538930697614,0.0337184107071372,0.108392765401501,0.0149063804782308,0.0584250644827497,0.0190454937258334,0.109096948025354,0.029510214687492,0.098012213306496
"21","Georgia","2000",0.0138542753162539,0.00197374511655465,0.11068319889072,0.112873780295877,0.0321411452000798,0.0412322226131036,0.014473719400676,0.0725465508834947,0.014323332942452,0.142957038024527
"22","Georgia","2017",0.00979876158974045,0.00159882073535983,0.0686711256036696,0.0989537804342643,0.0226730302489457,0.0472205792883505,0.0204244544989102,0.0919489654076293,0.0192550583183624,0.126322308450919
"23","Hawaii","2000",0.0171314810144655,0.000632473089871224,0.0258566741255793,0.112086507374183,0.0182443134130997,0.0333009090799918,0.0185952425747793,0.0776874435411021,0.0259794326155965,0.221493677270598
"24","Hawaii","2017",0.0130175058888976,0.000861604387771954,0.0204470781506689,0.098364146826949,0.0118918789712031,0.0320923187914504,0.0224201847940407,0.089810034159952,0.0255873686406425,0.197694203238676
"25","Idaho","2000",0.0539753639417693,0.00423343759251393,0.0955863613545971,0.123028407408838,0.0148266852016321,0.0349255383506455,0.0104593839698292,0.0782523072170522,0.0169710777310113,0.151661067562523
"26","Idaho","2017",0.0430422647922811,0.00505505693871932,0.0726089996652411,0.110516974651425,0.0119829807800872,0.0407197513672622,0.0183433992088598,0.102599630378674,0.0211096166911958,0.132166365251634
"27","Illinois","2000",0.0136715083987191,0.0023143759197259,0.11966497818346,0.104159692482125,0.0229461374808342,0.0606297717523542,0.0180447383489834,0.095104159828398,0.0178380102673588,0.121610750186443
"28","Illinois","2017",0.00939143989917287,0.00295937319814878,0.0761573944147077,0.0920967297516571,0.0147712254884452,0.0626272457763332,0.0271742125431806,0.112260242168804,0.0216720924180652,0.111308737160614
"29","Indiana","2000",0.0218283359118106,0.00258377675467114,0.184840088724471,0.119182664738382,0.014398264544092,0.0387234838060298,0.0150024067006053,0.0880539934235124,0.0179691174809794,0.118276177391926
"30","Indiana","2017",0.0160858532356612,0.0028943341842974,0.140653140691221,0.100793367029432,0.0102948847339398,0.0387914896096597,0.0223690502264737,0.113484990481282,0.0190295124970066,0.113853011781537
"31","Iowa","2000",0.0573558389644402,0.00139563734105241,0.133601600623207,0.12449419241521,0.0229598789507815,0.0510929620823139,0.0175230021709914,0.0951675339145617,0.0168505065124521,0.133797397107642
"32","Iowa","2017",0.0421103778570613,0.00208635405394418,0.108077592431631,0.108443466628982,0.0128960975354791,0.0648260355304498,0.0231971984490031,0.106029471263389,0.0176064858460889,0.131149929051379
"33","Kansas","2000",0.0440132203836593,0.0101027545117002,0.115794813646672,0.115101186607829,0.0283801962379396,0.0431309904153355,0.0111599534627952,0.0921740009725549,0.0147150050672835,0.158450888251628
"34","Kansas","2017",0.0324055481436125,0.0212337390720201,0.0878551691261684,0.0973439050010275,0.0125195193722925,0.0529716907818493,0.0147090270512161,0.105309164951604,0.017322562777535,0.153977466534121
"35","Kentucky","2000",0.0485202349379856,0.00939179642060784,0.136533099557291,0.117090927694614,0.016344812725533,0.035235495111384,0.0122329210602645,0.0868543898692424,0.0131247558510129,0.149984760334033
"36","Kentucky","2017",0.0333221514919045,0.00723902116774069,0.102495636507511,0.103894092779712,0.0111706199822807,0.0427857914308018,0.0161371002013127,0.107097749756726,0.0165632511355774,0.139600075566541
"37","Louisiana","2000",0.0167980648629278,0.021683632886613,0.0746545773627813,0.113150090343237,0.0143963079004701,0.0362394439076506,0.0151180490549545,0.0921802443872485,0.0216886566069458,0.173270207496395
"38","Louisiana","2017",0.0121219994322613,0.0227672859608275,0.0537194104843655,0.103685971634529,0.0109628353183834,0.039690637899263,0.0205659104342165,0.117151816819501,0.0200573882463276,0.132803863288214
"39","Maine","2000",0.0134279034588841,NA,0.10600620632392,0.134216537697742,0.0176700393730414,0.0412045829352877,0.017168788797496,0.122284733284951,0.0216137207460343,0.137386022889168
"40","Maine","2017",0.0127075516943203,0.00147706600870452,0.067466634454269,0.119308661347634,0.011747159787446,0.0395160007510911,0.0262319747116731,0.140815220836318,0.0254485915248703,0.128349262124798
"41","Maryland","2000",0.00613687997736185,0.000870922100497231,0.0578906092088774,0.113909043133767,0.0220705825281966,0.0451446820552209,0.0205412135667219,0.103322795811942,0.0201020333912762,0.166983223511339
